,short_description
317,बूम ज्योत पासवान बात पाय स्वस्थ ज़िल रह वाल पासवान हमनाम मृत्य कथित तौर 
318,बयान कह प्रधानमंत्र जह मरीज़ मिल वो ट्रेनिंग हॉल ट्रीटमेंट सेंटर बन 
319,न्यूज़ संस्थान आईएएनएस द्वार रिपोर्ट प्रकाशित किय लिख सुशांत सिंह राजपूत के पि ट्विटर 
320,मुम्बई पुलिस अभ जांच-पड़ताल रह 28 लोग के बयान दर्ज़ 
321,बूम घटनास्थल के तस्वीर तुल पाय बच्च हाथ मौजूद चट्टान के फ़्रेम आन वजह 
322,बूम वायरल तस्वीर दिख रह भाजप विकास दुब संपर्क किय पाय दाव बेबुनियाद 
323,बूम वायरल तस्वीर दिख रह भाजप विकास दुब संपर्क किय पाय दाव बेबुनियाद 
324,बूम पाय अपाच हेलीकाप्टर दरअसल एरिज़ो के हवास लेक रूटीन ड्रिल के चल उड़ रह 
325,बूम पाय ट्वीट इंडियन एक्सप्रेस के पैरोड अकाउंट भूषण ऐस जनहित याचिक दायर नह 
326,पिछल मही 23 जून प्रेस कांफ्रेंस रामदेव कह केवल कण्ट्रोल नह क्योर 
327,बूम पाय कोलक बत वायरल तस्वीर दरअसल सिवान बिहार तस्वीर दिख रह युवक गिरफ्तार किय चुक 
328,बूम पाय हैंडल ट्वीट्स के ज़रिय मुख्यतः चीन-निर्मित सामान बॉलीवुड के खान गैंग बैन मांग 
329,बूम पाय तस्वीर 2014 नरेंद्र मोद कर्णाटक के मेयर प्रणाम किय फ़र्ज़ शी जिनपिंग 
330,बूम बैन किय 59 एप्प्स के विकल्प सूच बन नज़र डाल 
331,बूम पाय पूर के पेट्रोल पंप लोग माप तेल दे तोड़फोड़ घट वर्ष 2018 
332,बूम पत लग वीडिय हैदराबाद के ओसमानिय हॉस्पिटल वर्ष 2013 रिकॉर्ड किय गय 
333,बूम पाय तस्वीर हैंडओवर समारोह दक्षिण कोरिय कोरिय युद्ध लड़ वाल ची सैनिक के 
334,बूम पाय तस्वीर 2017 इंटरनेट डिजिटल आर्टवर्क 
335,बूम पाय लिस्ट विकिपीडिय ली गय ची जनरल्स के नाम सूच 
336,बूम पाय अदाकार उर्सुल आंद्रेस तस्वीर जेम्स बांड श्रृंखल पहल फ़िल्म डॉ नो के सेट ली गय 
337,बूम पाय झंड ना भगव ना भारतीय तिरंग नेपाल विरोध व्यक्त नेपाल ध्वज जल 
338,बूम जिओ-लोकेट पत लग तस्वीर लेह न लदाख । 
339,बूम पाय घट अक्टूबर 2019 20 जवान ले रह बस दुर्घट शिकार गय 
340,बूम पाय प्रदर्शन भारत-चीन मसल सम्बन्ध नह सीपीआई एम के मज़दूर गरीब के बेहतर 
341,बूम पाय तस्वीर चार साल पुरा थाई इन्डोनेशिय मलेशियन वेबसाइट उपलब्ध 
342,कर्नल संतोष बाब हाल भारत-चीन के लद्दाख के गल्वान घाट झड़प शहीद 
343,बूम पाय वीडिय वर्ष 2012 इंटरनेट मौजूद वायरल वीडिय असल वीडिय क्लिप किय गय 
344,जह पोस्ट दाव किय गय वायरल क्लिप नूज़ीलैण्ड बूम पाय दरअसल मटेर इटल वीडिय 
345,बूम पाय तस्वीर घट भारत सम्बन्ध नह 
346,बूम पाय आजतक द्वार चल ट्वीट्स विसंगत गलत थीं जिसस मालुम फ़र्ज़ 
347,बूम पड़ताल पाय तस्वीर दरअसल सरकार नीत के ख़िलाफ़ प्रदर्शन जिसक द्वार सीताराम येचुर बृंद 
348,बूम पाय असल वीडिय लीबिय के समुद्र तट के पास 2014 हादस मार लोग दिख ना 
349,बूम पाय तस्वीर गौर नामक हथि सिरिगेर कर्नाटक स्तिथ तरलाबाल जगदगुर मठ 
350,बूम पाय जनवर 2020 रिकार्डेड असल वीडिय चौहान दरअसल कमल नाथ सरकार शराब बिक्र नीत सवाल उठ रह 
351,वायरल वीडिय झाँस उत्तर प्रदेश के पार्क जिम उपकरण अप काम नज़र आ रह 
352,बूम पड़ताल पाय वायरल वीडिय भारत के हैदराबाद शहर नह बल्क पाकिस्तान सिंध के हैदराबाद शहर 
353,वायरल पोस्ट दाव सुप्रीम कोर्ट आदेश दिय जून 15 देश नाम इंडिय बदल भारत दिय जाएग 
354,बूम जाँच साम आय वीडिय विंह चाऊ वियतनाम जह व्यक्त अप बेट अनाज के खेल 
355,बूम द्वार संपर्क ज़ न्यूज़ वायरल ग्राफ़िक फ़र्ज़ फ़ोटोशॉप्ड बत 
356,बूम पाय तस्वीर जून 2018 इंटरनेट मौजूद 
357,चैटबॉट कोरो वायरस जुड़ मिसइंफॉर्मेशन भारत के प्रमुख फ़ैक्ट चेकर्स के आर्टिकल्स पहुंच आपक व्हाट्सप्प इनबॉक्स 
358,बूम पाय क्षत-विक्षत जबड़ समेत गाय तस्वीर राजस्थान के रायपुर जह गाय विस्फ़ोट घायल गय 
359,बूम पाय वायरल तस्वीर साल 2017 मध्य प्रदेश के दमोह इलाक घट 
360,बूम स्कूल बोर्ड मेंबर ले वाईस चेयरमैन बात पाय दाव फ़र्ज़ 
361,बूम पाय वायरल तस्वीर एडिट गय असल तस्वीर 2016 वॉशिंगटन विरोध के ली गय 
362,बूम पाय प्रधानमंत्र आयुष्मान भारत लाभार्थ बात रह ना कोविड-19 मरीज़ 
363,बूम पड़ताल सूरत पुलिस घट सांप्रदायिक कोण नह झगड़ लॉकडाउन के नीयम उल्लंघन 
364,बूम पाय वायरल वीडिय दिल्ल नह बल्क मुंबई के किंग एड्वर्ड मेमोरीयल हॉस्पिटल 
365,बूम पाय वायरल तस्वीर करीब चार साल पुरा फ़र्रुख़ाबाद उत्तर प्रदेश मंदिर मरम्मत के लिय 
366,बूम उत्तराखंड वन्य विभाग के वरिष्ठ अधिकार बात करक पत लग वायरल तस्वीर उत्तराखंड नह 
367,बूम पाय वायरल पोस्ट शेयर किय गय तस्वीर सेट अलग 
368,बूम घट स्थल मौजूद फ़ोरेंसिक डॉक्टर सम्पर्क पत लग परिवार ग़रीब के कारण आत्महत्य थी। 
369,बूम वास्तविक वीडिय खोज दिसंबर 2019 पाय वायरल पोस्ट के दाव फ़र्ज़ 
370,बूम पड़ताल पत लग वायरल वीडिय तेलंग जह मज़दूर विरोध घर अनुमत माँग 
371,बूम पत लग वीडिय नाशिक जह पुलिस जोड़ लॉकडाउन के चल घर विवाह के बध दी। 
372,बूम 50 सेकंड लम्ब असल वीडिय ढूंढ निकाल जिसम जय श्र राम के नार सु सक 
373,बूम छान-बीन साम आय वायरल वीडिय दरअसल पूर्वनियोजित कथानक आधारित ना असल घट दिख 
374,बूम अप पड़ताल पाय पीड़ि के चाच लखनऊ हाई कोर्ट जमानत दी 
375,व्हाट्सएप्प सोशल मीडिय शेयर किय रह फ़ोट फ़र्ज़ न असल न्यूज़ रिपोर्ट 
376,बूम पाय दिल्ल प्रदेश कांग्रेस कमिट के सदस्य मध्य प्रदेश उत्तर प्रदेश पैदल मज़दूर के 
377,बूम पाय वीडिय फ़ैसलाबाद पाकिस्तान के बाज़ार । 
378,बूम पड़ताल साम आय वायरल वीडिय पाकिस्तान के मंशार ना भारत 
379,बूम पाय नी अंबा ट्विटर अकॉउंट नह बल्क ट्वीट फ़ैन अकाउंट किय गय 
380,क्लिप बांग्लादेश के कैम्प आग लग के पश्चात शरणार्थ रोहिंग्य व्यथ दिख है। 
381,बूम पड़ताल पाय फ़ोट फ़रवर 2019 प्रयागराज उत्तर प्रदेश आयोजित कुंभ मेल है। 
382,बूम अप पड़ताल पत चल क्लिप केन्य कॉमेडियन बहाल याक द्वार बनाय लम्ब वीडिय हिस्स 
383,बूम पत लग म्युज़ियम टीम मोद शारीरिक नाप ले रह ना उनक मेकअप रह 
384,बूम पाय वर्ष 2018 के वीडिय दिख रह व्यक्त साध नह बल्क बहरूपिय लोग लड़क के 
385,बूम पत लग वीडिय बलजीत नगर घट आरोप के स्थानीय निवास 
386,बूम वाकिय दूसर कोण लिय गय वीडिय खोज निकाल पाय लोग साजिद भाई ज़िंदाबाद कह रह ना 
387,बूम अप पड़ताल पाय एबीप न्यूज़ के टेम्पलेट के स्क्रीनशॉट के तौर वायरल बयान फ़र्ज़ 
388,बूम पत लग वीडिय अगस्त 2019 यूट्यूब 
389,बूम जाँच पाय तस्वीर पाकिस्तान के सिंध जह ज़मीन के विवाद ले लोग मुठभेड़ 
390,बूम पत लग वायरल वीडिय जुल 2016 इसक बांग्लादेश के आसार ज़्याद 
391,बूम पत लग नमाज़ अद लोग वायरल वीडिय लॉकडाउन लाग पहल 
392,बूम जाँच पाय सुरेश चव्हाणक द्वार ट्वीट गय तस्वीर पुरा साल कोविड-19 के चल तेलंग 
393,बूम टोंक पुलिस बात पत लग वायरल तस्वीर बलात्कार पीड़ि नह पीड़ि ज़िंद 
394,बूम एम्स दिल्ल के पैथोलॉज विभाग के वरिष्ठ प्रॉफ़ेसर बात ऐस लिस्ट के जार किय 
395,बूम पाय तस्वीर 2017 जिसम रोहिंग्य मुस्लिम व्यक्त म्यांमार छोड़ बांग्लादेश ओर भाग रह 
396,बूम आईसीएमआर दिल्ल के गंग राम अस्पताल संपर्क पुष्ट वायरल मेसेज उनक द्वार जार किय नह 
397,बूम पड़ताल पत चल वीडिय आसनसोल स्टेशन जह प्रवास परोस बास खा फ़ेंक । 
398,वृन्दावन पुलिस बूम बत मामल रोहिंग्य मुसलमान के शामिल ख़बर फ़र्ज़ । 
399,बूम पाय विवादित सीम देख सक मैप भारत के देख जाए 
400,बूम पत लग वीडिय पिछल साल गुजरात के सूरत डिवीज़न रिकॉर्ड किय गय रेलव नियुक्त कांस्टेबल 
401,बूम जयपुर अधिकारीय बात करक पत लग खबर फ़र्ज़ 
402,ट्वीट वायरल स्क्रीनशॉट कह अमित शाह मुस्लिम समुदाय विन रह उनक अच्छ स्वास्थ के 
403,बूम अप पड़ताल पाय रंजन गोगोई ट्विटर मौजूद नह उनक नाम ऐस बयान न्यूज़ रिपोर्ट्स 
404,प्रकाशित लेख दाव खान कोरो वायरस के कर्व उल्ट दिश पढ़ जबक लेख सबस पहल पाकिस्तान 
405,रकुल प्रीत सिंह वीडिय दव ले 5 मई थीं 
406,बूम पाय तस्वीर इंदिर गाँध के पत उनक ससुर नह दाव फ़र्ज़ 
407,बूम पड़ताल साम आय वायरल तस्वीर नेहर के गाल चुम्बन दे युव उनक भांज नयनतार सहगल 
408,बूम पड़ताल साम आय वायरल तस्वीर जुल 2019 इंटरनेट मौजूद इनक शराब दुकान के खुल 
409,बूम जांच साम आय वायरल वीडिय पाकिस्तान 2015 घट इसक शाहीन बाग़ हालिय 
410,बूम छानबीन ऐस आधिकारिक नोटिस नह पाय जिसम लिख चीन अप मुद्र डॉलर एक्सचेंज 
411,बूम पाय तस्वीर असंबंधित घायल महिल तस्वीर गुजरात 
412,आमिर खान वायरल रह दाव ट्वीट फ़र्ज़ बत ख़ुदक सूच लिय है। 
413,बूम पत लग अभिने शाहरुख़ खान टीप सुल्तान जैस दिख पोस्टर दरअसल फ़ैन आर्ट तौर बन गय 
414,रतन टाट द्वार व्यापार के नाम संदेश फ़र्ज़ है। बात पुष्ट टाट ट्विटर 
415,दाव अप सांस रोक रख कोविड-19 के टेस्ट सरस के तेल नाक लग वायरस पेट 
416,बूम पत लग वीडिय ऋष कपूर के नह बल्क उनक मा कृष्ण राज कपूर के निधन के 
417,बूम नसीरुद्दीन शाह के सहय बातचीत अफ़वाह ख़ारिज कह ठीक 
418,बूम सूरत पुलिस बात बात पुष्ट वीडिय सूरत के बाजार जह लोग लॉकडाउन पालन नह 
419,बूम पाय वायरल क्लिप साल पुरा कोविड-19 के कारण चल रह लॉकडाउन संबंधित नह है। 
420,वीडिय दरअसल फ़रवर 3 रिकॉर्ड किय गय कपूर दिल्ल के हॉस्पिटल इलाज के भर् 
421,तस्वीर म्यांमार के पहाड़ शहर कलाव जह सब्ज मंड सोशल डिस्टन्सिंग अभ्यास किय था। 
422,बूम पत लग वायरल पोस्ट दिख रह तस्वीर दरअसल 2015 तस्वीर इरफ़ान शक्ल मॉर्फ़ करक बनाय गय 
423,बूम तफ़्तीश साम आय वीडिय यूट्यूब अगस्त 2017 - कोरोनावायरस वूहान चीन संक्रमण फैल 
424,बूम पाय वीडिय 2011 किम जोंग-इल के अंतिम संस्कार 
425,एचडीएफस बैंक के प्रवक् नीरज झा कह पोस्ट गलत तरीक़ आदित्य पूर जोड़ रह इसक 
426,बूम पाय तस्वीर पुरा कैप्शन असंबंधित इसक कोरोनावायरस महामार सम्बन्ध नह 
427,वायरल पोस्ट दाव किय गय हमल पालघर लिंचिंग प्रेरित था। बूम होशियारपुर पुलिस सम्पर्क पत 
428,बूम पत लग फ़ोट नज़र आ रह आदम पैर चोटिल नर्स उसक इलाज़ रह थी। 
429,बूम पाय कात्याय मंत्र के वायरल ऑडिय क्लिप वास्तविक आवाज़ गायक जीतेन्द्र सिंह 
430,बूम पाय घट जून 2018 महाराष्ट्र के वर्ध वक़्त परिवार क़र्ज़ के कारण आत्महत्य 
431,बूम वास्तविक भाषण वीडिय देख पाय राहुल गाँध गंदग के कारण आसमान मंडर रह चील उल्लेख 
432,बूम पाय असल घट अप्रैल 3 2020 बांग्लादेश के सिलहट जह स्थानीय ज़रूरतमंद हिंद 
433,बूम पाय ज़ हिंदुस्तान द्वार ख़बर के साम्प्रदायिक कोण गुमराह वाल वायरल मेसेज आय है। 
434,बूम पत लग फ़ेसबुक शेयर किय ट्वीट स्क्रीनशॉट दरअसल फ़ैन पेज लिय गय सस्पेंडेड 
435,बूम पाय होंज ऐस बयान नह दिय जबक सबूत के मुताबिक़ सार्स-सीओवी-2 प्राकृतिक वायरस है। 
436,बूम पाय असल तस्वीर साल 1954 ली गय अभिनेत्र मर्लिन मोनर 
437,फ़ोट 1985 बर्ट ग्लिन्न द्वार स्टेम सेल ट्रांसप्लांट के पूर्व फ़्रेड हचिंसन कैन्सर सेंटर सीऐटल यूएसए 
438,वायरल पोस्ट दाव केरल दलित महिल मुस्लिम ईसाईय इसल हमल दिय क्यूंक वो पूज रह 
439,घट पाकिस्तान के पंजाब प्रान्त पंजाब पुलिस के अनुसार सीसीटीव फ़ुटेज दिख रह व्यक्त गिरफ़्तार किय 
440,हिंद अख़बार दैनिक जागरण अप्रैल 24 समाजवाद पार्ट अध्यक्ष अखिलेश यादव तस्वीर गलत लेख के छाप दी 
441,बूम अप पड़ताल पाय फ़ाईनेन्शियल टाइम्स के हवाल 2016 न्यूज़ पहल वायरल चूक लेख 
442,बूम बातचीत दिल्ल पुलिस साफ़ किय अज़ान रोक नह लग बल्क सिर्फ मस्जिद धार्मिक स्थल 
443,वीडिय अर्नब गोस्वाम उनक पत् समयाब्र रे गोस्वाम कथित हमल के बन गय 
444,बूम पाय काब रुक्न-ए-यम कह इसक स्पर्श पवित्र मा 
445,बूम मुंबई के मनोचिकित्सक डॉ सागर मुंदड़ बात के जान कोशिश कोरोनावायरस लॉकडाउन असर लोग के 
446,बूम के खोजबीन साम आय वायरल क्लिपिंग मई 2018 
447,बूम पत लग सोशल मीडिय फ़र्ज़ दाव पिछल छः साल शेयर किय रह अप छानबीन के खान 
448,बूम इंदौर पुलिस बात बत नोट डिलीवर मैन जेब गिर वो साइकिल चल रह 
449,बूम पालघर पुलिस सम्पर्क घट के साम्प्रदायिक कोण ना पुष्ट 
450,बूम रवीश कुमार बात वायरल बयान सिर ख़ारिज किय 
451,सोशल मीडिय मैप - मानचित्र - हाल बत रह जबक हमन पत लग 2016 इंटरनेट मौजूद 
452,बूम स्थानीय पुलिस बात कह हल्द्वा के बनभूलपुर क्षेत्र के निवास के व्हाट्सएप्प मौखिक 
453,बूम पाय क्लिप 2019 के यूट्यूब वेबसीरीज क्रॉप 
454,वीडिय दाव किय गय मुस्लिम नौकरा अप मालिक के खा पेशाब मिल बूम पत लग वीडिय 
455,बूम पाय वीडिय रामनवम के दिन कुष्ठ आश्रम बच खा दर्श 
456,बूम पड़ताल साम आय वायरल वीडिय हाजीपुर पुलिस द्वार किय मॉक ड्रिल 
457,बूम पाय सिंध सरकार क्वारंटाइन फैसिलिट ईरान पाकिस्तान आन वाल भक्त के बन सुक्कुर 
458,बूम मुंबई पुलिस संपर्क किय पत चल मुद्द साम्प्रदायिक कोण नह 
459,वायरल मैसेज दाव किय रह कोरोनावायरस वजह साल 15 अक्टूबर भारत भर सभ होटल रिसॉर्ट 
460,वायरल पोस्ट टीव ब्लूपर प्रतीत बूम पाय असल खबर दरअसल उत्तराखंड के मुख्यमंत्र के बार 
461,बूम पाय युवक - दिलशाद अल - स्वस्थ सिलसिल पुलिस तीन हमलावर गिरफ़्तार लिय 
462,बूम पाय वीडिय एनीमेशन वीडिय प्रोड्यूसिंग कंप बन डिजिटल बन गय हकीक़त ऐस नह 
463,बूम पाय तस्वीर फ़र्ज़ दाव फ़ोटोशॉप के जोड़ गय 
464,हाल 2014 तस्वीर दाव शेयर रह मोद सरकार लॉकडाउन के अप प्रचार नह 
465,बूम पाय फ़ार्मासिस्ट मृत्य ब्रेन हैमरेज वजह थीं ना मुस्लिम द्वार किय हमल वजह जैस 
466,बूम खोज पाय वीडिय अगस्त 2019 शूट किय गय पाकिस्तान के कराच मानसिक रोग मस्जिद 
467,हालांक वायर एजेंस अप ट्वीट डिलीट करक भूल-सुधार जार दिय लोग गलत ट्वीट 
468,बूम पाय फ़िलीपीन्स 2019 रिकॉर्ड किय वीडिय डिलीवरीमैन ब्रेड के स्लाइस पैकेट निकाल रह 
469,बूम पाय तस्वीर जून 2019 ली थीं हाल के लॉकडाउन पूर असंबंधित 
470,बूम पाय वीडिय करीब चार मही पुर दोन पुलिस मेरठ शहर के रोक 
471,बूम पुलिस अधीक्षक आबिद खान बात फ़र्ज़ सूच केंद्र बन 
472,बूम पत लग वीडिय नवंबर 2015 योग आदित्यनाथ असहिष्णु के ख़िलाफ बोल के शाहरुख खान 
473,वायरल वीडिय दाव किय गय इंदौर पुलिस 1 अप्रैल डॉक्टर्स टीम पथराव वाल पिट बूम 
474,वायरल मैसेज जिसम दाव किय गय पीएम मोद युएस युक सहित देश के कोरोनावायरस टास्क फोर्स नेतृत्व 
475,सरकार अधिसूच इंडियन स्टाम्प एक्ट खण्ड के लाग वर्णन FY20 के रूप दर्श रह 
476,लेख वर्ल्ड न्यूज़ डेल जानीमा फ़र्ज़ समाचार वेबसाइट व्यंग्य सामग्र आड़ ग़लत सूच फ़ैल 
477,लेख आर / नोस्लीप नाम के रेड्डिट फोरम लिय गय जह लोग जीवन घट प्रेरित काल्पनिक कहान पोस्ट 
478,बूम पाय वर्ष पुर वीडिय दरअसल बोहर समुदाय के लोग द्वार अपन गय प्रतीकात्मक अभ्यास अन्न 
479,बूम पाय वीडिय प्रोटेस्ट रैल अज़रबैज़ान पिछल साल 
480,गृह मंत्रालय के अधिकार बूम पुष्ट मैसेज उल्लिखित अधिकार नाम पदनाम मौजूद नह है। 
481,मुंबई पुलिस बूम पुष्ट वायरल ऑडिय क्लिप नकल हैं। 
482,वायरल मैसेज फ़र्ज़ बॉम्ब कोर्ट द्वार दिए निर्णय ग़लत व्याख्य दी है। 
483,बूम पत लग वायरल तस्वीर दिख रह बच्च अनेनसेफ़ैल नामक बर्थ डिफ़ेक्ट के पैद इसक काल जाद 
484,वायरल मेसैज दाव किय गय देश-व्याप लॉक डाउन सह ढंग पालन नह किय वजह एमप सरकार 
485,तस्वीर वीडिय झूठ दाव के वायरल रह कोरोनावायरस वैक्सिन उपलब्ध है। 
486,बूम पाय वीडिय पुलिस द्वार मॉक ड्रिल है। 
487,बूम पाय तस्वीर 2019 के आर्ट संबंधित बड़ पैम वाल शार्क हत्य के संबंध 
488,वायरल मैसेज लोग घर के रह के कह रह क्योंक सरकार दव छिड़काव रह है। दाव नकल 
489,बूम पाय भारतीय दाव ग़लत बत है। दाव के इस्तेमाल तस्वीर पुरा भारत 
490,आजतक के टेम्पलेट इस्तेमाल करक बनाय वायरल क्लिप दाव किय गय ब्राह्मण राजपूत नह होग 
491,बूम पाय ग्राफिक प्रैंक जनरेटर ऐप के बन गय गल घूम शेर तस्वीर पुरा असंबंधित है। 
492,बूम पाय वायरल ऑडिय चेन्नई के ऑर्थोपेडिशियन डॉ संतोष जैकब रिकॉर्ड है। 
493,वायरल प्रेस रिलीज़ भारत के प्रधान मंत्र कार्यालय द्वार जार नह है। 
494,वायरल वीडिय के दाव किय गय कोरोनावायरस के डर चीन लाख तादाद लोग इस्लाम क़ुबूल किय बूम 
495,वायरल पोस्ट झूठ दाव किय गय सचिन तेंदुल कोरोनावायरस के प्रकोप के कारण मांस बिक्र बैन लग के 
496,बूम पाय वीडिय दरअसल अगस्त 2019 हांगकांग राजनीतिक विरोध दिख गय कोरोनावायरस के 
497,बूम पाय मुफ़्त मास्क के ऑनलाइन फॉर्म घोटाल जिसक ज़र लोग जानकार ली थी। 
498,सोशल मीडिय के दाव के विपरीत रोश वैक्सीन के नह बल्क़ तेज कोरोनावायरस टेस्ट के इमर्जन्स स्वीकृत 
499,सब-डिविशनल मजिस्ट्रेट बूम बत वीडिय मॉक ड्रिल 13 मार्च गय 
500,मुख्यधार के समाचार आउटलेट सोशल मीडिय झूठ दाव कह रोनाल्ड के होटल अस्पताल बदल जाएगा। 
501,विश्व स्वास्थ्य संगठन कह COVID-19 के हालिय प्रकोप के ख़िलाफ मुकाबल के मास्क पूर प्रभाव नह 
502,ट्वीट प्रेस सूच ब्यूर फ़ैक्ट चेक टीम कह वायरल क्लिप दाव फ़र्ज़ हैं। 
503,उत्पत्त रेड्डिट फोरम आर/नोस्लीप कह जह डराव किस्स कहान शेयर हैं। 
504,बूम दंपत्त के परिवार बात की। टाइम्स ऑफ इंडिय के दाव आपत्त व्यक्त कह महिल बैंगलोर 
505,डब्ल्यूएचओ कह अभ वैक्सीन टीक नह नय टीक सार्वजनिक रूप उपलब्ध 
506,बूम पाय वायरल वीडिय फिल्म अभिने सन देओल फिल्म ब्लैंक 2019 रिलीज़ थी। 
507,बूम पाय झूठ दाव के वायरल स्क्रीनशॉट फोटोशॉप किय गय है। 
508,बूम आरबीआई के प्रवक् बात स्पष्ट किय वायरल मैसेज फ़र्ज़ है। 
509,हाथरस पुलिस घट सांप्रदायिक कोण इंकार किय है। 
510,बूम पाय ट्वीट बीजेपी4कर्नाटक के पैरोड अकाउंट न पार्ट के आधिकारिक हैंडल किय गय है। 
511,वीडिय झूठ दाव के शेयर किय रह मुंबई के पास लोनावल मुस्लिम वेंडर पकड़ गय लीच 
512,बूम पाय यूनिसेफ़ ऐस एडवाइज़र जार नह मैसेज ज्यादातर दाव वैज्ञानिक नह हैं। 
513,बूम आजतक के वीडिय लंब वर्शन पाय जिसस पत चल वीडिय क्रॉप ग़लत सूच फैल रह है। 
514,बूम पाय वायरल वीडिय भीड़ द्वार व्यक्त हमल किय रह कन्हैय कुमार नह बल्क शख़्स 
515,तस्वीर टर्किश राष्ट्रपत रेसेप तय्यिप एर्डोगन के दिख रह बॉलीवुड अभिने आमिर खान ले सोशल मीडिय 
516,बूम पाय वायरल वीडिय तीन क्लिप जोड़ बन गय शी जिनपिंग द्वार 2016 चीन के उत्तर-पश्चिम क्षेत्र 
517,बूम प्रोफाइल जांच पाय अकाउंट फ़र्ज़ है। अल जज़ीर द वायर के मुताबिक अकाउंट संबंधित व्यक्त 
518,बूम पाय वायरल वीडिय क्रॉप भ्रामक संदर्भ के शेयर किय गय था। 
519,बूम मंदर के लंब भाषण सु जह प्रदर्शनकार भारत के संविधान के सच्च आदर्श रक्ष के 
520,बूम दिल्ल के डॉ राम मनोहर लोहिय अस्पताल सफदरजंग अस्पताल संपर्क किया। दोन अस्पताल ऐस मरीज़ 
521,बूम सुल्तानपुर पुलिस संपर्क किय बत घट ना दिल्ल के सीलमपुर जैस 
522,वीडिय अभिनेत्र कांग्रेस सदस्य नग़म ट्विटर शेयर किय तुरंत वायरल गया। 
523,बूम पहल वीडिय जाँच फैल दाव किय गय पश्चिम बंगाल इस्लाम आतंकवाद 
524,वर्ष पुरा घायल बच्च तस्वीर कह वायरल किय गय दिल्ल दंग स्कूल घर लौट 
525,बूम पाय तस्वीर बचाव अभियान के वीडिय लिय गय जह पुलिस लोग इमारत उतर सहाय रह 
526,कोयंबटूर पुलिस ख़बर फ़र्ज़ बत है। पुलिस के मुताबिक शेयर वाल हैंडल पत लग कोशिश रह 
527,दाव शाहीन बाग़ महिल पैस दिए रह बूम पाय वीडिय फ़रवर 28 वितरित गय सहाय राश के 
528,बूम पाय दैनिक जागरण 29 फ़रवर 2020 प्रकाशित विज्ञापन फ़ोटोशोप वायरल किय गय 
529,मूल रूप तस्वीर लड़क जिसक शव 20 फ़रवर मध्य प्रदेश के गांव बरामद किय गय था। 
530,वित्त राज्य मंत्र संवादद सम्मेलन झूठ दाव किय ऐस नार कभ नह लग था। 
531,बूम पाय तस्वीर औरंगाबाद जह प्रदर्शनकार नागरिक संशोधन अधिनियम के ख़िलाफ प्रदर्शन के 
532,बूम पाय घट पश्चिम बंगाल के इस्लामपुर इलाक 29 जनवर व्यक्त अप पत् नवजात बेट 
533,बूम पाय वीडिय 24 फ़रवर विधायक दिल्ल बिगड़ कानून व्यवस्थ के लेफ्टिनेंट गवर्नर 
534,बूम पाय कांग्रेस के तस्वीर दिख दे वाल शख़्स भारत के पूर्व एडिश्नल सॉलिसिटर जनरल सुप्रीम 
535,दिल्ल दंग के अपर्याप्त रिपोर्टिंग के कारण असल जानकार लोग नह पहुंच पाईं इसक अलाव शाहरुख़ के 
536,बूम पाय वायरल वीडिय दिसंबर 2019 गुजरात के अहमदाबाद सीएए के विरोध प्रदर्शन के फिल्म गय 
537,बूम पाय ची रंग ना ख़रीद के संबंध भारत सरकार डब्लूएचओ सलाह जार नह है। 
538,दोन हाथ पत्थर पकड़ पुलिसवाल तस्वीर हाल दिल्ल हिंस के पहल इंटरनेट मौजूद है। 
539,वीडिय 17 दिसंबर 2019 वायरल शहर हाल हिंस असंबंधित है। 
540,बूम पाय चार तस्वीर सेट पुर औऱ उत्तर-पूर्व दिल्ल हिंस संबंधित नह है। 
541,हमलावर आत्महत्य ली थी। कोतम पुलिस मामल सांप्रदायिक कोण इंकार किय है। 
542,बूम पाय कपिल मिश्र के पीछ खड़ व्यक्त नाम रोहित राजपूत मौजपुर निवास है। 
543,बूम कन्नड़ पुलिस बात बत घट सांप्रदायिक कोण नह 
544,बूम अशोक नगर दौर किय जह मस्जिद स्थित पुष्ट बड़ मस्जिद 25 फ़रवर के दिन उपद्रव द्वार 
545,बूम पाय बयान पहल नेटिज़न्स द्वार शेयर किय गय है। 
546,बूम पाय वीडिय हेनान प्रांत ची स्वाट टीम द्वार मॉक ड्रिल है। 
547,बूम पाय तस्वीर आइश घोष के माथ चोट निशान स्पष्ट रुप देख सक है। 
548,बूम पाय वायरल तस्वीर तीन साल पुरा शाहीन बाग़ नह है। 
549,कंप न ची न आधिकारिक पैकेजिंग टैबलेट मिल है। 
550,वायरल फ़ोट दिख वाल महिल नाम शकील बेगम 
551,बूम शादाब फ़ारुक़ बात दाव अफ़वाह बत । बात पृष्ट वायरल सीसीटीव फुटेज 
552,शिवसे के मुखपत्र के मुताबिक शराब पी कोरोनावायरस सक है। 
553,बूम पाय दोन तस्वीर एडिट किय गय है। पेशाब ना निर्देश दे वाल टेक्स्ट नह ना 
554,नई दिल्ल विधानसभ के 7 विधायक बीजेप के 1 विधायक महिल के ख़िलाफ अपराध के गंभीर मामल घोषण 
555,बूम पाय ओखल विधायक के मूल ट्वीट सांप्रदायिक रंग दे के फ़ोटोशॉप किय गय टेक्स्ट जोड़ गय 
556,बूम पाय दिल्ल विधानसभ चुनाव पहल बीजेप परवेश वर्म विवादित टिप्पण थी। 
